	TCGA-A6-2671-01A	TCGA-A6-2675-01A	TCGA-A6-2678-01A	TCGA-A6-2679-01A	TCGA-A6-2680-01A	TCGA-A6-2671-11A	TCGA-A6-2675-11A	TCGA-A6-2678-11A	TCGA-A6-2679-11A	TCGA-A6-2680-11A
ARHGEF25	1.82296954383293	1.8403365032683199	0.8018978799172769	0.48214250237305	1.1472883149121798	3.13903505983778	4.7245971092092995	2.5110619777561802	1.7150575998523998	2.8553684993876898
ARHGEF26	0.508172851150023	0.585127140258577	0.832120704313879	0.172002600801587	1.10226325305504	2.13287115125498	3.2204022750476198	1.64260767913249	1.19942692509003	3.08370886653131
ARHGEF28	0.865789855239718	0.873427531139366	1.62701845188651	0.474475367805858	1.0965086971167	0.713312891668773	0.7034616358899219	0.8853791501723159	0.81591334921048	1.0738772602551099
ARHGEF3	3.04215668876481	2.1835182865110703	2.05455951172125	1.58623512924851	2.05890557268166	1.9473242003132	2.64534530683726	1.94598487090036	2.3757145414612997	1.65033428797205
ARHGEF34P	0.725903735466197	0.838807620319117	0.648045275340527	0.0	1.21451236307404	1.06733348791258	0.600145966364585	1.29965766333254	0.7860608343539971	1.66615500704349
ARHGEF35	0.954398547603953	1.73836902768499	0.696147763797398	0.44081999926685494	0.612464819873209	2.43579386397097	1.2482143189945	1.1846557034299	2.76368155804905	2.3126247862086697
ARHGEF37	1.9678112655538502	1.81762996709275	2.3810220833305	1.77192412039076	1.5060448128130701	3.12764341442877	3.5207768670926898	3.26775271950787	2.84948307267336	2.7475302801521897
ARHGEF38	0.6289542652108779	1.07841258406208	1.71107894269378	0.567005687218446	0.8630966650254379	0.700012768804232	0.573198974574125	0.866775434841395	0.587760727078042	0.9871221497435001
ARHGEF39	1.7497544281155801	0.985556500352267	1.95409203271133	1.76864340138887	1.70140692375869	0.7871513488982521	0.903393364914273	0.991066754791728	1.19887949169172	0.846756870298257
ARHGEF4	0.858265348040278	0.226946811550379	0.0390027816119903	0.20955757399001398	0.16306765982002402	0.864591796363941	1.7654195098721999	0.441552203328146	0.17344532507217703	0.84063324631153
ARHGEF40	2.45715646333016	3.38435073129846	2.16255944684567	2.88906524080448	3.28841713702617	2.98454395942106	3.21144376197452	3.65646566413695	3.37221963673641	2.13053210097122
ARHGEF5	2.4541845233152797	2.85604972598055	2.21584661237028	2.23367058922807	3.0961827944480897	2.72214872172373	2.54154355477777	2.64334287174947	2.8561525335140896	3.40310786303165
ARHGEF6	1.14829219330835	1.86877023614757	1.28878524661697	0.597519051288399	1.00928352582211	1.85173419920787	2.4074919448467798	2.22252790189629	2.4807219844036497	1.90651410346216
ARHGEF7	3.0017148489	2.58925958315724	3.0438957638055997	2.15064895371393	3.2449229439987004	2.58272751239447	2.7030732372668904	2.9463122950767704	2.5235130290945	2.8130773407756
ARHGEF9	1.71208466393247	1.9995551440854697	1.74957469950541	1.5701899722060901	2.08282194503787	2.71836155527457	2.8188963387212698	2.81004635176192	2.6091654935885398	2.43849951669377
ARID1A	4.32146496191495	3.76381549806421	3.6871778612655004	2.7549994530220197	2.74234429312141	3.8266788709604	4.07850345107403	3.87527990381194	3.89117078338227	3.42198355010912
ARID1B	2.72581375666894	2.7796602398595094	1.9862342060874998	2.00376994703557	2.9723135653903103	2.5529345764666402	2.76769115345985	2.63571291633934	2.40713458872052	2.93440789152958
ARID2	1.3241763339578	1.7814029373548501	1.99717657146231	0.7550973329888241	1.6247104091212201	1.6179632208926698	1.8472493345618	1.7734578062610502	1.62303522400545	1.94920241683341
ARID3A	2.84745673831792	2.99022743706802	1.3446957283950502	3.7006013196694796	3.44215248338249	1.4953837066374698	1.08138152612875	1.27953941492939	1.36214620440068	2.7167554785565198
ARID3B	1.08359472300899	1.1963442487528402	1.16418743007162	1.15751280972652	1.78871071325121	1.83294613726788	1.43655098410527	1.6653813943587101	1.8206306978206297	1.6774046656267199
ARID4A	1.00295898832207	2.03423337319227	1.310637442244	0.451381401468375	1.26308059386897	1.79962013645944	2.30152226700271	2.1186153409282498	1.9339442252926697	2.26865875545475
ARID4B	1.12231114561232	2.16958718695254	2.15790386869508	0.477466611329553	1.4465884303032601	1.60718076898186	2.21516438721594	1.8718219553145399	1.77378684998617	1.8640604287678502
ARID5A	3.52465048538765	3.3337068986957203	3.49622855126988	3.9654911220152096	2.64624690449416	2.59191430546814	2.84332244094911	2.5859103297512998	3.0048287627622203	2.80577637055723
ARID5B	2.3636554103477003	3.5082365212778996	3.17119608706524	1.29116586313355	2.66528292803308	2.3460805363205	3.02076085297684	2.8098643196025495	2.36776214060996	2.0536196257408
ARIH1	1.4385357775531997	1.66693388042961	2.1020435869256597	0.6221717595819879	1.9156360177743	1.72839450471946	2.15317170634314	1.901971646946	1.6594336972871297	1.8740850632484298
ARIH2	3.69094550832162	3.0283964508256798	3.2205547265128898	3.0156433440837995	3.4591949658002	2.9817133006809	3.4288513402277405	3.0406288480165804	2.84301371017896	2.9937457341667404
